first_author_last_name,year,city,country,study_design,intervention,metric,type of measure,measure,equity_group1,equity1_sample_size,equity_group2,equity2_sample_size,comparison_group,comparison_sample,comparison_group1,comparison_sample1,reliability,reliability_finding,validity,validity_finding,analysis,results ,conclusions,link_to_measure,notes
Jalaludin,2012,Sydney,Australia,pre-post,urban renewal,walkability,self-report,NEWS,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,t-test or non-parametric equivalent,,,NEWS-A: doi: 10.1249/01.mss.0000227639.83607.4d,Very small sample. Not worth interpreting the results. 
Juonala,2019,NA,Australia,cross-sectional,NA,walkability,self-report,"No name. Neighbourhood facilities such as parks and playgrounds (“Are there good parks and playgrounds/play spaces?”), shops (“Is there good access to basic shopping facili- ties?”), walking possibilities (“Are there many places to go within easy walking distance”) and safety (“Is it safe to live?”).",NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Linear regression,Participant identification of the neighbourhood being ‘friendly’ for commuting by foot was also associated with lower BMI (all adjusted for age and sex). Proximity to shopping facilities was also related with cardiometabolic risk factors in all models,,,
Leach,2016,NA,USA,longitudinal,,walkability,audit,The Pedestrian Environment Data Scan (PEDS),Black women aged 55+,30,NA,NA,NA,NA,NA,NA,No,NA,No,NA,CART (Random Forest),PEDS was not associated with cariovascular factors. ,,1. https://www.sciencedirect.com/science/article/abs/pii/S0169204606001101,
Molina-García,2020,"Almería, Granada, and Murcia",Spain,cross-sectional,NA,walkability,audit,Microscale Audit Pedestrian Streetscapes (MAPS)- Global audit tool,Rural Children,208,Rural Adolscents,499,Urban Children,681,Rural Adolscents,1042,No,NA,No,NA,Model fit comparison (r2) between urban and rural * child or adolescent models. ,"The built environment characteristics that showed a different role depending on urban or rural areas were: street connectivity indicators (i.e., intersection density and number of four-way intersections) and residential density. These factors were positively related to ACS in urban participants, but negatively in rural participants, which may indicate a higher presence and relevance of these characteristics in urban areas. ",No difference between MAPS measures between urban and rural. ,1. https://pubmed.ncbi.nlm.nih.gov/29482633/,
Neckerman,2009,New York,USA,cross-sectional,NA,walkability,audit,No name. Included as Appendix in the PDF of the paper. ,Poor neighbourhoods (census tracts with at least a 20% poverty rate in the 2000 US Census),NA,,,Non poor neighbourhoods,NA,,,No,NA,No,NA,"Total width of sidewalks did not differ in poor and nonpoor neighborhoods, but the unobstructed walking area was narrower on sidewalks in nonpoor neighborhoods. Nonpoor blocks had more sidewalk cafes and pedestrian conve- niences. ",,,1. https://pubmed.ncbi.nlm.nih.gov/19190579/,
Osypuk,2009,"Baltimore, MD; Chicago, IL; Forsyth County, NC; Los Angeles, CA; New York, NY; and St Paul, MN.",USA,cross-sectional,NA,walkability,self-report,Walking Environment Scale,Chinese,711,Hispanic,1191,NA,NA,NA,NA,No,NA,Yes,Cronbach Alpha = 0.61,Linear regression,"Residents in neighborhoods with higher proportions of immigrants reported better healthy food availability, but also worse walkability, fewer recreational exercise resources, worse safety, lower social cohesion, and lower neighborhood-based civic engage- ment.",,1. https://pubmed.ncbi.nlm.nih.gov/15466849/,2. https://pubmed.ncbi.nlm.nih.gov/17329713/
Payton,2021,Newark,USA,cross-sectional,NA,walkability,self-report,Walking Environment Scale,"Black, low income",95,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Linear regression,"In Model 4, however, where both safety and walking environment are simultaneously adjusted for, re- sults for safety and walking environ- ment were statistically significant.","Findings suggest that interventions geared to- ward promoting more active living should consider how these initiatives intersect with issues of environmen- tal injustice, neighborhood violence, and other social determinants that can place limits on physical activity.",1. https://pubmed.ncbi.nlm.nih.gov/15466849/,
Richardson,2017,Pittsburg,USA,cross-sectional,NA,walkability,audit,"Bridge the Gap Street Segment Tool. 15-item walkability index assessed traffic signs at intersections, pedestrian crossings, sidewalks, lighting, transit, and mixed use.",Age 65+,254,Gender (Male/Female),"181 Men, 610 Women",NA,NA,NA,NA,No,NA,No,NA,Zero inflated negative binomial regression,"Women and men 65 years and over spent very little time participating in MVPA regardless of their neighborhood’s walkabil- ity. In contrast, among younger adults (<65 years), there was a significant sex by walkability interaction on MVPA (F-ratio = 5.91, df = 1). For women, but not men, under the age of 65 years, living in more walkable neigh- borhoods was associated with more time engaged in MVPA in (β = 0.55, p = 0.007) as compared to their coun- terparts living in less walkable areas.",On average they engaged in about 6 min of MVPA per day or 42 min per week which is less than one third of the recommended levels of moderate inten- sity activity. MVPA was even lower among women versus men and among those aged 65+ versus < 65 years.,1. https://www.sciencedirect.com/science/article/abs/pii/S0749379712008008,2. https://jech.bmj.com/content/61/11/978
Rugel,2022,,20 Low and Middle Income Countries,cross-sectional,NA,walkability,audit and self-report,"1. Environmental profile of a community’s health (EPOCH audit) 1
2. Environmental profile of a community’s health (EPOCH self-report) 2",Older adults,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,,Study was a validation study and factor analysis of concepts from a broad set of indicators for age friendly cities. ,,1. EPOCH 1 (https://pubmed.ncbi.nlm.nih.gov/21170320/) ,2. EPOCH 2 (https://pubmed.ncbi.nlm.nih.gov/22973446/) 
Smith,2015,London,England,cross-sectional,NA,walkability,self-report,Assessing Levels of Physical Activity and Fitness questionnaire,Adolescents,1689,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Linear regression,Adolescents who described their neighbourhoods as more amenable to walking and cycling were significantly more likely to be physically active and less likely to be sedentary than those who described the neighbourhood as more difficult to walk or cycle.,,1. https://pubmed.ncbi.nlm.nih.gov/20504339/,
Sugiyama,2015,Adelaide,Australia,cross-sectional,NA,walkability,self-report,NEWS,Neighnourhood SES,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Multinomial logistic regression,"Individuals perceiving better access to utilitarian destinations in their neighborhoods were more likely to walk for recreation (both occasionally and frequently). Better perceptions of neighborhood esthetics, traffic/barriers, and crime safety were also associated with a higher likelihood of recreational walking. No interaction effects between neighbourhood SES and NEWS constructions on predicting walking. ",,NEWS-A: doi: 10.1249/01.mss.0000227639.83607.4d,
NEWS,2013,Melbourne,Australia,cross-sectional,NA,walkability,self-report,No name. Neighbourhood physical activity environment. Table 1 of the paper has the items and likert scale. ,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Cronbach Alpha = 0.80,Multilevel linear regression,"After taking into account the destinations/ connectivity z-score, the perceived physical activity environment (CI = 0.52, 1.42) and personal safety (CI = 0.08, 0.69) were positively associated with walking for transportation. In relation to leisure-time walking (Table 4), perceived aesthetics (CI = 0.15, 0.94), the physical activity environ- ment (CI = 1.05, 1.82), personal safety (CI = 0.19, 0.71) and social cohesion of the neighbourhood (CI = 0.19, 1.00) showed a positive association after taking into ac- count the objective destinations/connectivity z-score.",,,
Blanchette,2019,"Trois-Rivières, Ottawa, Vancouver",Canada,cross-sectional,NA,bikeability (active transportation),self-report,School Health Environment Survey,children,1699,NA,NA,NA,NA,NA,NA,Yes,"In terms of test-retest reliability,79%  of  the  items  showed  great  stability  (70%  ofthe  schools  had  the  same  result  for  80%  of  thequestionnaire  items).  Finally,  with  respect  to  inter-rater  reliability,  77%  of  the  items  had  agreementbetween raters in more than 85% of the schools.29",Yes,"According   to   an   unpublished   validation   studyof  the  School  Health  Environment  Survey,29thisquestionnaire had 75% exact agreement between theresearcher and the expert consensus, indicating goodconvergent validity.",Sex-stratified generalized linear mixed model (school as a random effect) to investigate the associations between school environment variables and children's PA,"Among the variables from the School Health Environment Survey, none of the 4 components had a significant association with children's PA. ",,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fjosh.13102&file=josh13102-sup-0001-supinfo+1.pdf,This is a tricky paper; someone could validate if it worht keeping
Christiana,2021,Various,USA,cross-sectional,NA,bikeability (active living),self-report,"No name; whether they had access to resources (i.e., indoor recreation or exercise facility, school recreation facilities, bike/hiking/walking trails or paths, basketball courts or playing fields, and public parks) in their neighborhood, defined as the area within a 10–15 min walk from their home",youth 12-17,1128,rural,207,NA,NA,NA,NA,No,NA,No,NA,Mediation analysis,"- in terms of neighborhood resources, rural adolescents had significantly less access than their non-rural counterparts. In all five areas assessed, rural adolescents were significantly less likely to report a given resource and had significantly fewer neighborhood access points, on average, than non-rural adolescents (1.3 versus 2.4 neighborhood resources, p < 0.001).
- The study estimates that 21% of the effect of rural residence on screen time, 54% of the effect on active transportation, and 70.2% of the effect on MVPA at school is mediated through neighborhood resources. After accounting for confounding and mediation, there was no direct effect of living in a rural area on any of the outcomes (p-values for CDE estimates ranged from 0.08 to 0.58).

",,https://www.sciencedirect.com/science/article/pii/S2211335521001121,
Van Dyck,2011,Ghent,Belgium,cross-sectional,NA,walkbility & bikeability,self-report,"NEWS (Dutch version): Physical environmental factors included were residential density, land use mix diversity, land use mix access, street network connectivity, availability and quality of walking and cycling infrastructures, safety for cycling, aesthetics, perceived safety from crime and traffic, PA equipment in the home environment, convenience of recreation facilities, satisfaction with neighborhood services, and emotional satisfaction with the neighborhood. ",Residents of disadvantaged nbg,NA,NA,NA,NA,NA,NA,NA,Yes,acceptable to good reliability (intraclass correlation coefficients between 0.40 and 0.97),Yes,acceptable validity (coefficients between 0.21 and 0.91),Multilevel multivariate regression,"Perceiving neighborhoods to be high walkable (high residential density, high land use mix access, and high land use mix diversity) and recreation facilities to be convenient, and the availability of home PA equipment were the most consistent physical environmental correlates of PA",,,"Analysis of the moderating effects of gender, age, and SES showed that gender did not significantly moderate any association of physical environmental and psychosocial factors with self-reported PA. For SES, the positive association between self-reported walkability and cycling for transport was only significant in high-SES adults. Age moderated four associations between psychosocial factors and self-reported PA behaviors, but the direction of these interactions was inconsistent (shown in Table 3)."
Oyeyemi,2017,Several cities,"Cameroon, Ghana, Mozambique, Nigeria, South Africa and Uganda",cross-sectional,NA,walkability,self-report,NEWS-Africa,Residents of disadvantaged nbg,NA,Residents of rural villages,NA,NA,NA,NA,NA,Yes (from another paper by same authors),The scales and individual items of NEWS-Africa have evidence of “good” (ICCs=0.60 - 0.74) to “excellent” (ICCs>0.75%) test-retest reliability,Yes (Construct),"Six of 13 NEWS-Africa subscales were significantly associated with either walking for transport or for recreation. The overall walkability index was significantly related to both walking for transport and for recreation in pooled analyses. The effect sizes were small, with NEWS-Africa scores accounting for 1% - 2% of variance in walking for both purposes in the pooled analyses.",GLM,"See ""validity finding""","Seven of 14 NEWS-Africa scales were significantly related to walking behavior in pooled analyses, providing partial support for the construct validity of NEWS-Africa. However, effect sizes appeared to be lower than those from other continents.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4782343/?report=reader,"- Two studies have provided partial support for the feasibility of using the NEWS questionnaire in Africa by reporting acceptable psychometric properties for its original subscales in Nigerian adults (24) and modest correlations between its subscales and accelerometer and self-reported estimates of physical activity in South African older adults (18). 
- Recently, the NEWS was systematically adapted for Africa through a coordinated study in multiple African countries (23). The test-retest reliability of the resulting NEWS-Africa instrument was “good” (ICCs=0.60 to 0.74) to “excellent” (ICCs>0.75%) for over 90% of its items and scales.
- INCLUDE PAPER ON TEST-RETEST RELIABILITY IN TABLE TOO? https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4782343/?report=reader#__ffn_sectitle"
Child,2016,1 central South Carolina county,USA,cross-sectional,walking intervention (baseline survey only),walkability/bikeability/active living,self-report,"International Physical Activity Questionnaire - Environment module (IPAQ-E): accessibility (high dwelling density, destinations within walking distance); structural support (presence of sidewalks, sidewalks are maintained, presence of bicycle facilities, facilities for bicycling are maintained, presence of low-cost recreation facilities, high street connectivity); safety (crime in day prevents walking, crime at night prevents walking, traffic is barrier to walking, traffic is varrier to bicycling); cues and motivators (presence of active others, positive nbg aesthetics)",NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,Multiple regression between built and social environment indicators,"Selected neighbourhood attributes were positively associated with social cohesion, participants' neighbourhood interactions (e.g., waving a tneighbours), and social support for PA from family and friends (see Table 2 for detailed results)","Several neighborhood attributes related to
accessibility and all of the structural
support features (e.g., sidewalks, desti-
nations within walking distance) were
associated with social interactions with
neighbors, highlighting that features
conducive to PA may also facilitate
social connections and support. ",https://www.researchgate.net/profile/Patrick-Bergman-2/publication/225319257_IPAQ_Environmental_Module_reliability_testing/links/620f40d76c472329dcf11df6/IPAQ-Environmental-Module-reliability-testing.pdf,"Test-retest reliability of Swedish version was assessed in other paper (DOI 10.1007/s10389-005-0016-2): Percent agreement ranged from 51–90% for men and 51–98% for women. The lowest values were seen for the questions regarding the social environment and street connectivity (both variables=51%). The highest percent agreement for men and women was seen for the question regarding the number of motorized vehicles in the household (89.9 and 95.9%, respectively). ICC ranged from 0.41–0.96 for men and from 0.27–0.98 for women. Again the highest numbers were seen for the questions regarding motorized vehicles (ICC=0.98) and type of housing  (ICC=0.96). The variable demonstrating the lowest ICC for men was transit stop within a 10- to 15-min walking distance. Crime rate during the day resulted in the lowest reliability score for women (ICC=0.36)"
Alexander,2013,,USA,cross-sectional,Park Access,Green Space,parent self-report,"“Please tell me if the following places and things are available to your children in your neighborhood, even if [CHILD'S NAME] does not actually use them: 1) A park or playground area; and 2) A recreation center, community center, or boys’ or girls’ club”. Parents self-reported whether a park, playground area, recreation centre, community centre, or boys’/girls’ club was available in the neighbourhood.",Non-Hispanic Black,4310,Hispanic,4134,Non-Hispanic White,30415,,,no,NA,no,NA,Mediation analysis with race/ethnicity as effect modifier. ,"Race/ethnicity was an effect modifier of the access to recreational parks and facilities—obesity association (Breslow-Day test of homogeneity p<0.0001). Among Non-Hispanic White children, those who had access to recreational parks and facilities had 0.89 times the prevalence of obesity as compared to children without access (95% CI 0.64 to 1.23). Findings were similar among both Hispanic and ‘Other’ children (PR=0.73, 95% CI 0.28 to 1.81 and PR=0.80, 95% CI 0.23 to 2.28, respectively).",,No link. Very simple single question. ,
Blair,2019,,Scotland,cross-sectional,Park Access,Green Space,self-report,"“Is there a public park or play park within 10 min walk of here [your residence]?” Those who reported “Yes” were considered to have access to a local park, while those reporting “No” were not.",,,,,,,,,,,,,Mediation analysis using park access a mediator between adverse childhood experience and low income. ,"Statistically significant associations between parks, childcare, and ACE incidence were not observed.","Of the resources assessed, only transportation was associated with lower ACE incidence in households above and below the poverty line. We estimated that a substantial portion (21%) of the income-based inequality in the 8-year cumulative incidence of three or more ACEs could be eliminated if all had access to adequate transportation.",No link. Very simple single question. ,
Chen,2020,"Beijing, Shannxi, Guangdong",China,cross-sectional,Park Access,Green Space,,"For the green space attributes, participants were asked whether green space access (e.g., walking distance and road system), type (e.g., green space in residential areas and multifunctional parks) or size (e.g., 1, 2 and 5 Ha) played a role in respondents’ health promotion. The landscape characteristics were measured by asking whether plants (e.g., ornamental features and canopy density), water (e.g., artificial and natural), sensory features (e.g., sound and smell) or microclimate environments (e.g., temperature and humidity) contributed to health promotion. The facilities were assessed by asking respondents whether rest facilities (e.g., seats and pergolas with chairs) or amenity facilities (e.g., exercise facilities, running paths, swings and slides) had an impact on their health promotion. All the response options were listed on a Likert scale (1 = strongly disagree to 5 = strongly agree).",,,,,,,,,"Cronbach’s α values for the willingness to use parks to promote health and the park use behavior were 0.836 and 0.712, respectively",,"CR coefficients for each independent variable exceeded the threshold value of 0.7 [97] and average variance extracted (AVE) scores were calculated with values higher than 0.5 in Table 1 [98], indicating that the results were acceptable.",,Linear regression,"Green space access (β = 0.289, p < 0.01), type (β = 0.109, p < 0.01), size (β = 0.179, p < 0.01), sensory features (β = 0.129, p < 0.01) and amenity facilities (β = 0.079, p < 0.05) exerted a significant positive influence on the willingness to use parks to promote physical health.","Overall, our findings demonstrated that young residents’ perception of green space components for health promotion had a greater effect on their willingness to use parks to promote health and the perception of access to green space access was the most robust predictor of willingness.",No specific detail about the extact questions. Would have to recreate. ,
Chen,2019,Cache County,USA,cross-sectional,,Green Space,audit,"PARK (Parks, Activity, and Recreation among Kids)",,,,,,,,,,,,,Spatial OLS with queen contiguity,"Regarding issues of environmental justice, differences in SES across communities may lead to variations of park quality, resulting in unequal distribution of public resources. Some SES factors have significant associations with park quality. A negative relationship between poverty and overall park quality indicates that as the percentage of people living under the 125% federal poverty line increased, the overall park quality in their communities decreased","The improvement of park quality provides greater opportunity for experiencing equitable access to the pursuit of healthy and productive lifestyles,",https://link-springer-com.cyber.usask.ca/article/10.1007/s10980-019-00891-y,
Cohen,2016,Pittsburgh,USA,cross-sectional,Park Use,Green Space,audit,System for Observing Play and Recreation in Communities (SOPARC),Food Desert Parks,19 parks,,,Comparison Parks in Pittsburg,182,,,,,,,Eyeball comparison of means. Not clear if there is any statistical analysis,"Of the 6825 observations, supervised or organized activities were observed 62 times—fewer than 1 % of all observations. This compares to 4 % in the national sample. Moderate to a lot of litter was observed in 25 % of all observations, less than the 32 % nationally. Graffiti was more likely to be seen in the smaller parks than those with less than 2 acres (12.5 % versus 9 %). All the target areas in all the parks were rated as usable","It is possible that small investments in park renovations and programming could make a substantial impact on population physical activity and health. Most parks are designed generically, but given different local needs, park administrators should do their utmost to ensure that park resources are not wasted and can truly serve the residents for whom they are intended.",https://www-ncbi-nlm-nih-gov.cyber.usask.ca/pmc/articles/PMC2957838/,
Derose,2019,Los Angeles,USA,cross-sectional,Park Use,Green Space,audit,System for Observing Play and Recreation in Communities (SOPARC),Sample is in low income parks only,,Gender,,,,,,,,,,Mediation analysis. Gender - Crime perception - Park Use,"For park visits in the last 7 days, perceived crime partially mediated the gender association (βgender, direct= −0.09, p=0.19; βgender, indirect = −0.07, p<.0001) and that of the walking path (βwalking path, direct=0.18, p=0.10; βwalking path, indirect=0.15, p=0.005), where indirect associations were large and significant and direct associations were not significant. This result suggests that gender and the existence of a walking path influenced park visits partially through perceived crime.","Among park users in high poverty neighborhoods, most of whom were Latino, addressing crime concerns are likely necessary to increase park use among women and adults whose parks do not have a walking path.",https://www-ncbi-nlm-nih-gov.cyber.usask.ca/pmc/articles/PMC2957838/,
